2026-05-24T21:08:36.150+08:00	frame=0	bvp=-0.975298	hr=73.220	rmssd=nan	sdnn=nan	quality=0.255	va_mode=vision	fatigue_state=ready	fatigue_raw=0.687	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.167	arousal_raw=-0.112	valence_calib=0.859	arousal_calib=0.876	va_calib_state=ready
2026-05-24T21:08:56.612+08:00	frame=0	bvp=-0.530519	hr=119.814	rmssd=nan	sdnn=nan	quality=0.244	va_mode=vision	fatigue_state=ready	fatigue_raw=0.510	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.082	arousal_raw=0.009	valence_calib=0.728	arousal_calib=1.000	va_calib_state=ready
2026-05-24T21:09:12.391+08:00	frame=0	bvp=0.242932	hr=66.563	rmssd=nan	sdnn=nan	quality=0.216	va_mode=vision	fatigue_state=ready	fatigue_raw=0.744	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.096	arousal_raw=-0.284	valence_calib=0.750	arousal_calib=0.450	va_calib_state=ready
2026-05-24T21:09:49.941+08:00	frame=0	bvp=0.142471	hr=66.563	rmssd=nan	sdnn=nan	quality=0.229	va_mode=vision	fatigue_state=ready	fatigue_raw=0.359	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=0.008	arousal_raw=-0.434	valence_calib=0.614	arousal_calib=0.078	va_calib_state=ready
2026-05-24T21:10:11.596+08:00	frame=0	bvp=-0.179750	hr=53.251	rmssd=nan	sdnn=nan	quality=0.150	va_mode=vision	fatigue_state=ready	fatigue_raw=0.771	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.114	arousal_raw=-0.301	valence_calib=0.426	arousal_calib=0.407	va_calib_state=ready
2026-05-24T21:10:32.744+08:00	frame=0	bvp=0.678465	hr=53.251	rmssd=nan	sdnn=nan	quality=0.267	va_mode=vision	fatigue_state=ready	fatigue_raw=0.941	fatigue_calib=0.494	calib_baseline=0.943	valence_raw=-0.085	arousal_raw=-0.319	valence_calib=0.470	arousal_calib=0.364	va_calib_state=ready
2026-05-24T21:10:48.107+08:00	frame=0	bvp=0.191921	hr=53.251	rmssd=nan	sdnn=nan	quality=0.197	va_mode=vision	fatigue_state=ready	fatigue_raw=0.804	fatigue_calib=0.000	calib_baseline=0.943	valence_raw=-0.108	arousal_raw=-0.408	valence_calib=0.435	arousal_calib=0.143	va_calib_state=ready
2026-05-24T21:11:08.181+08:00	frame=0	bvp=-0.803969	hr=106.501	rmssd=nan	sdnn=nan	quality=0.236	va_mode=vision	fatigue_state=ready	fatigue_raw=0.855	fatigue_calib=0.087	calib_baseline=0.943	valence_raw=0.182	arousal_raw=-0.254	valence_calib=0.882	arousal_calib=0.524	va_calib_state=ready
2026-05-24T21:11:47.441+08:00	frame=0	bvp=1.152146	hr=126.470	rmssd=nan	sdnn=nan	quality=0.222	va_mode=vision	fatigue_state=ready	fatigue_raw=0.999	fatigue_calib=0.768	calib_baseline=0.943	valence_raw=0.334	arousal_raw=-0.245	valence_calib=1.000	arousal_calib=0.547	va_calib_state=ready
2026-05-24T21:12:26.411+08:00	frame=0	bvp=-0.016097	hr=86.532	rmssd=nan	sdnn=nan	quality=0.319	va_mode=vision	fatigue_state=ready	fatigue_raw=0.990	fatigue_calib=0.722	calib_baseline=0.943	valence_raw=-0.097	arousal_raw=-0.066	valence_calib=0.452	arousal_calib=0.992	va_calib_state=ready
2026-05-24T21:12:48.004+08:00	frame=0	bvp=0.282390	hr=66.563	rmssd=nan	sdnn=nan	quality=0.285	va_mode=vision	fatigue_state=ready	fatigue_raw=0.971	fatigue_calib=0.632	calib_baseline=0.943	valence_raw=0.037	arousal_raw=-0.197	valence_calib=0.658	arousal_calib=0.665	va_calib_state=ready
